nom;score;drapeau
Wawangame;128;wawangame
Ernestie;122;ernestie
Cliponie;96;cliponie
Neutronia;90;neutronia
Vahyxia;77;vahyxia
Urdae;74;urdae
Boukistan;73;boukistan
Nesquacie;53;nesquacie
Solarys;40;solarys
Kétonie;36;ketonie
Bannière Indépendante;28;coim
Orion;22;orion
Darnelia;21;darnelia
Sylvanor;14;sylvanor
Rép Démo Vesnarite;14;vesnar
Colombey;12;colombey
Azéisme;12;aze
Cursurie;12;cursurie
Rép Bretagne;10;bretagne
RF Congolaise;9;rfc
Empire Crabiste;9;crab
Xajakok;8;xajakok
Venistan;8;venistan
République de Kélior;8;kelior
Vexin;6;vexin
Gaufres Salées;5;
France Le Chatel;5;flc
Goatopia;5;goatopia
Altéris;5;alteris
Mougins;4;mougins
Avernie;3;avernie
Czestovnie-Beauvence;3;czb
Pantonia;0;pantonia
Arnastrasie;0;arnastrasie
Auroria;0;auroria
Tektek;0;
Oslande;0;
Royaume du Thé;0;royaume_du_the
Sliganie;0;sliganie
Melsigrad;0;melsigard
Ehrenia;0;ehrenia
Massivie;0;
Kiaranastan;0;kiaranastan
Lestovie;0;lestovie
Pipupap;0;pipupap
Legionnaris;0;legionaris
Loriane;0;loriane
Occhiodie;0;occhiodie
Kobalstan;0;kobalstan
Nihawira;-2;nihawira
RI d'Algérois;-2;alger
République de Montaris;-2;montaris
